payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000065,nesn.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000065,nesn.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000065,nesn.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,schain,3.2.1
p000065,nesn.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000066,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,auctionId,3.2.1
p000066,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000066,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000066,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,schain,3.2.1
p000066,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000067,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,auctionId,3.2.1
p000067,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000067,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000067,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,schain,3.2.1
p000067,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000068,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,auctionId,3.2.1
p000068,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.deprecated,warning,imp[0].video.placement,Section 3.2.7
p000068,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000068,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.undefined,error,schain,3.2.1
p000068,upi.com,ads.yieldmo.com,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000069,mthai.com,adserver.maximus.mobkoi.com,request,2.6-202606,openrtb.type.mismatch,error,user.id,3.2.20
p000070,mthai.com,adserver.maximus.mobkoi.com,request,2.6-202606,openrtb.type.mismatch,error,user.id,3.2.20
p000071,vietstock.vn,adserver.maximus.mobkoi.com,request,2.6-202606,openrtb.type.mismatch,error,user.id,3.2.20
p000072,vietstock.vn,adserver.maximus.mobkoi.com,request,2.6-202606,openrtb.type.mismatch,error,user.id,3.2.20
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[3].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[3].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[6].id,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[6].tagid,3.2.4
p000073,cityam.com,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000074,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000074,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000074,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000074,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000074,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000074,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
